mes,precipitaciones,id,NAMEUNIT
2019-01-15,171.2,15,A Coruña
2019-02-15,72,15,A Coruña
2019-03-15,96.1,15,A Coruña
2019-04-15,173.7,15,A Coruña
2019-05-15,52.9,15,A Coruña
2019-06-15,78.2,15,A Coruña
2019-07-15,19.6,15,A Coruña
2019-08-15,56.6,15,A Coruña
2019-09-15,73.2,15,A Coruña
2019-10-15,249.4,15,A Coruña
2019-11-15,393.3,15,A Coruña
2019-12-15,268.8,15,A Coruña
2019-01-15,18.8,2,Albacete
2019-02-15,5,2,Albacete
2019-03-15,19.4,2,Albacete
2019-04-15,159.8,2,Albacete
2019-05-15,8.6,2,Albacete
2019-06-15,3.8,2,Albacete
2019-07-15,8.5,2,Albacete
2019-08-15,24.2,2,Albacete
2019-09-15,101.5,2,Albacete
2019-10-15,25,2,Albacete
2019-11-15,56.8,2,Albacete
2019-12-15,44.6,2,Albacete
2019-01-15,2.1,3,Alacant/Alicante
2019-02-15,0.8,3,Alacant/Alicante
2019-03-15,34.1,3,Alacant/Alicante
2019-04-15,180.4,3,Alacant/Alicante
2019-05-15,6.2,3,Alacant/Alicante
2019-06-15,1.1,3,Alacant/Alicante
2019-07-15,0.8,3,Alacant/Alicante
2019-08-15,44.6,3,Alacant/Alicante
2019-09-15,171,3,Alacant/Alicante
2019-10-15,47.9,3,Alacant/Alicante
2019-11-15,17.8,3,Alacant/Alicante
2019-12-15,79.8,3,Alacant/Alicante
2019-01-15,2.9,4,Almería
2019-02-15,4.3,4,Almería
2019-03-15,14.2,4,Almería
2019-04-15,55.8,4,Almería
2019-05-15,1.9,4,Almería
2019-06-15,2,4,Almería
2019-07-15,0.3,4,Almería
2019-08-15,1.9,4,Almería
2019-09-15,100.4,4,Almería
2019-10-15,24.1,4,Almería
2019-11-15,24.5,4,Almería
2019-12-15,48,4,Almería
2019-01-15,193.5,1,Araba/Álava
2019-02-15,49.2,1,Araba/Álava
2019-03-15,27.6,1,Araba/Álava
2019-04-15,79.5,1,Araba/Álava
2019-05-15,61.6,1,Araba/Álava
2019-06-15,26.5,1,Araba/Álava
2019-07-15,60.1,1,Araba/Álava
2019-08-15,23.6,1,Araba/Álava
2019-09-15,62.2,1,Araba/Álava
2019-10-15,63,1,Araba/Álava
2019-11-15,259.7,1,Araba/Álava
2019-12-15,83.7,1,Araba/Álava
2019-01-15,286.6,33,Asturias
2019-02-15,66.2,33,Asturias
2019-03-15,46.1,33,Asturias
2019-04-15,101.5,33,Asturias
2019-05-15,63.2,33,Asturias
2019-06-15,72.1,33,Asturias
2019-07-15,41.2,33,Asturias
2019-08-15,34,33,Asturias
2019-09-15,61.7,33,Asturias
2019-10-15,163.2,33,Asturias
2019-11-15,441.5,33,Asturias
2019-12-15,222.5,33,Asturias
2019-01-15,29.9,5,Ávila
2019-02-15,3.5,5,Ávila
2019-03-15,29.1,5,Ávila
2019-04-15,76.2,5,Ávila
2019-05-15,6.3,5,Ávila
2019-06-15,3.4,5,Ávila
2019-07-15,13.1,5,Ávila
2019-08-15,31.3,5,Ávila
2019-09-15,46.1,5,Ávila
2019-10-15,57.6,5,Ávila
2019-11-15,93.7,5,Ávila
2019-12-15,151.6,5,Ávila
2019-01-15,30.7,6,Badajoz
2019-02-15,7.2,6,Badajoz
2019-03-15,24.9,6,Badajoz
2019-04-15,68.8,6,Badajoz
2019-05-15,6.9,6,Badajoz
2019-06-15,0.2,6,Badajoz
2019-07-15,0.8,6,Badajoz
2019-08-15,5.2,6,Badajoz
2019-09-15,8.4,6,Badajoz
2019-10-15,23.8,6,Badajoz
2019-11-15,79.7,6,Badajoz
2019-12-15,89.7,6,Badajoz
2019-01-15,42.2,7,Illes Balears
2019-02-15,4.9,7,Illes Balears
2019-03-15,12.3,7,Illes Balears
2019-04-15,29.8,7,Illes Balears
2019-05-15,24.9,7,Illes Balears
2019-06-15,0.4,7,Illes Balears
2019-07-15,4.2,7,Illes Balears
2019-08-15,18.7,7,Illes Balears
2019-09-15,64.5,7,Illes Balears
2019-10-15,89.9,7,Illes Balears
2019-11-15,99.2,7,Illes Balears
2019-12-15,70.1,7,Illes Balears
2019-01-15,14.3,8,Barcelona
2019-02-15,3.2,8,Barcelona
2019-03-15,3.8,8,Barcelona
2019-04-15,54.6,8,Barcelona
2019-05-15,68.5,8,Barcelona
2019-06-15,21.1,8,Barcelona
2019-07-15,58.2,8,Barcelona
2019-08-15,35.2,8,Barcelona
2019-09-15,58.5,8,Barcelona
2019-10-15,96.9,8,Barcelona
2019-11-15,39.1,8,Barcelona
2019-12-15,92.4,8,Barcelona
2019-01-15,270.7,46,Bizkaia
2019-02-15,49,46,Bizkaia
2019-03-15,56,46,Bizkaia
2019-04-15,93.8,46,Bizkaia
2019-05-15,92.2,46,Bizkaia
2019-06-15,39.1,46,Bizkaia
2019-07-15,72.9,46,Bizkaia
2019-08-15,34.6,46,Bizkaia
2019-09-15,83.6,46,Bizkaia
2019-10-15,128.4,46,Bizkaia
2019-11-15,420.4,46,Bizkaia
2019-12-15,129.6,46,Bizkaia
2019-01-15,100.9,9,Burgos
2019-02-15,28.4,9,Burgos
2019-03-15,21.4,9,Burgos
2019-04-15,87.4,9,Burgos
2019-05-15,30.4,9,Burgos
2019-06-15,27.6,9,Burgos
2019-07-15,44.4,9,Burgos
2019-08-15,15.9,9,Burgos
2019-09-15,55.5,9,Burgos
2019-10-15,74.3,9,Burgos
2019-11-15,167.2,9,Burgos
2019-12-15,85.3,9,Burgos
2019-01-15,31.8,10,Cáceres
2019-02-15,7.6,10,Cáceres
2019-03-15,28.7,10,Cáceres
2019-04-15,86.5,10,Cáceres
2019-05-15,7,10,Cáceres
2019-06-15,1.5,10,Cáceres
2019-07-15,4.1,10,Cáceres
2019-08-15,12.2,10,Cáceres
2019-09-15,25.9,10,Cáceres
2019-10-15,42.3,10,Cáceres
2019-11-15,108.7,10,Cáceres
2019-12-15,150.3,10,Cáceres
2019-01-15,51,11,Cádiz
2019-02-15,6.2,11,Cádiz
2019-03-15,18.8,11,Cádiz
2019-04-15,80,11,Cádiz
2019-05-15,0,11,Cádiz
2019-06-15,0.7,11,Cádiz
2019-07-15,0.2,11,Cádiz
2019-08-15,0,11,Cádiz
2019-09-15,11.8,11,Cádiz
2019-10-15,20.2,11,Cádiz
2019-11-15,106.3,11,Cádiz
2019-12-15,85.6,11,Cádiz
2019-01-15,331.3,37,Cantabria
2019-02-15,64.6,37,Cantabria
2019-03-15,57.4,37,Cantabria
2019-04-15,97,37,Cantabria
2019-05-15,64.9,37,Cantabria
2019-06-15,57.9,37,Cantabria
2019-07-15,71.3,37,Cantabria
2019-08-15,49.6,37,Cantabria
2019-09-15,90.8,37,Cantabria
2019-10-15,182.3,37,Cantabria
2019-11-15,384.6,37,Cantabria
2019-12-15,151.2,37,Cantabria
2019-01-15,6.8,12,Castelló/Castellón
2019-02-15,0.5,12,Castelló/Castellón
2019-03-15,20.2,12,Castelló/Castellón
2019-04-15,72.5,12,Castelló/Castellón
2019-05-15,25.8,12,Castelló/Castellón
2019-06-15,2.2,12,Castelló/Castellón
2019-07-15,23.6,12,Castelló/Castellón
2019-08-15,45.3,12,Castelló/Castellón
2019-09-15,69.5,12,Castelló/Castellón
2019-10-15,39.2,12,Castelló/Castellón
2019-11-15,10.8,12,Castelló/Castellón
2019-12-15,100.4,12,Castelló/Castellón
2019-01-15,26.9,13,Ciudad Real
2019-02-15,7.3,13,Ciudad Real
2019-03-15,15.2,13,Ciudad Real
2019-04-15,101.3,13,Ciudad Real
2019-05-15,9,13,Ciudad Real
2019-06-15,0,13,Ciudad Real
2019-07-15,2.9,13,Ciudad Real
2019-08-15,7.6,13,Ciudad Real
2019-09-15,53.7,13,Ciudad Real
2019-10-15,25.1,13,Ciudad Real
2019-11-15,76.5,13,Ciudad Real
2019-12-15,76.6,13,Ciudad Real
2019-01-15,41.6,14,Córdoba
2019-02-15,5.2,14,Córdoba
2019-03-15,21.8,14,Córdoba
2019-04-15,76.6,14,Córdoba
2019-05-15,0.6,14,Córdoba
2019-06-15,0,14,Córdoba
2019-07-15,0.4,14,Córdoba
2019-08-15,4.9,14,Córdoba
2019-09-15,26.3,14,Córdoba
2019-10-15,22.4,14,Córdoba
2019-11-15,100.5,14,Córdoba
2019-12-15,137.1,14,Córdoba
2019-01-15,25.6,16,Cuenca
2019-02-15,4.1,16,Cuenca
2019-03-15,18.9,16,Cuenca
2019-04-15,113.1,16,Cuenca
2019-05-15,11,16,Cuenca
2019-06-15,1.5,16,Cuenca
2019-07-15,8.9,16,Cuenca
2019-08-15,27.7,16,Cuenca
2019-09-15,57.8,16,Cuenca
2019-10-15,35.7,16,Cuenca
2019-11-15,78.3,16,Cuenca
2019-12-15,72.1,16,Cuenca
2019-01-15,299,20,Gipuzkoa
2019-02-15,62,20,Gipuzkoa
2019-03-15,65.9,20,Gipuzkoa
2019-04-15,107.5,20,Gipuzkoa
2019-05-15,145.3,20,Gipuzkoa
2019-06-15,55.1,20,Gipuzkoa
2019-07-15,98.3,20,Gipuzkoa
2019-08-15,61.2,20,Gipuzkoa
2019-09-15,65.6,20,Gipuzkoa
2019-10-15,122.5,20,Gipuzkoa
2019-11-15,412.4,20,Gipuzkoa
2019-12-15,148.3,20,Gipuzkoa
2019-01-15,15.7,17,Girona
2019-02-15,4.3,17,Girona
2019-03-15,5.5,17,Girona
2019-04-15,81.8,17,Girona
2019-05-15,67.7,17,Girona
2019-06-15,26.8,17,Girona
2019-07-15,54.4,17,Girona
2019-08-15,15.5,17,Girona
2019-09-15,72.3,17,Girona
2019-10-15,147.5,17,Girona
2019-11-15,49,17,Girona
2019-12-15,93.9,17,Girona
2019-01-15,30.5,18,Granada
2019-02-15,16.2,18,Granada
2019-03-15,17.2,18,Granada
2019-04-15,90.1,18,Granada
2019-05-15,2.7,18,Granada
2019-06-15,2.4,18,Granada
2019-07-15,1,18,Granada
2019-08-15,8.2,18,Granada
2019-09-15,76.1,18,Granada
2019-10-15,18.7,18,Granada
2019-11-15,73.6,18,Granada
2019-12-15,63.2,18,Granada
2019-01-15,27.4,19,Guadalajara
2019-02-15,7,19,Guadalajara
2019-03-15,16.3,19,Guadalajara
2019-04-15,121.4,19,Guadalajara
2019-05-15,10.7,19,Guadalajara
2019-06-15,7.3,19,Guadalajara
2019-07-15,16,19,Guadalajara
2019-08-15,25.4,19,Guadalajara
2019-09-15,50.1,19,Guadalajara
2019-10-15,41.9,19,Guadalajara
2019-11-15,82.9,19,Guadalajara
2019-12-15,75.3,19,Guadalajara
2019-01-15,42.1,21,Huelva
2019-02-15,8.9,21,Huelva
2019-03-15,17.9,21,Huelva
2019-04-15,74.6,21,Huelva
2019-05-15,0.7,21,Huelva
2019-06-15,0,21,Huelva
2019-07-15,0.1,21,Huelva
2019-08-15,0.3,21,Huelva
2019-09-15,14.5,21,Huelva
2019-10-15,26.5,21,Huelva
2019-11-15,60.8,21,Huelva
2019-12-15,139.4,21,Huelva
2019-01-15,54.2,22,Huesca
2019-02-15,9.4,22,Huesca
2019-03-15,9.7,22,Huesca
2019-04-15,92.6,22,Huesca
2019-05-15,62.5,22,Huesca
2019-06-15,28.1,22,Huesca
2019-07-15,44,22,Huesca
