NAMEUNIT,id,total_2020
A Coruña,15,1633.5
Alacant/Alicante,3,430.50000000000006
Albacete,2,467.3999999999999
Almería,4,231
Araba/Álava,1,857.8
Asturias,33,1237.3000000000002
Ávila,5,662.1999999999999
Badajoz,6,477.7
Barcelona,8,837.0999999999999
Bizkaia,46,1354.3
Burgos,9,668.1999999999999
Cáceres,10,693.2
Cádiz,11,601.9999999999999
Cantabria,37,1239.3
Castelló/Castellón,12,818.1000000000001
Ciudad Real,13,383.30000000000007
Córdoba,14,469.69999999999993
Cuenca,16,545.5
Gipuzkoa,20,1468.3000000000002
Girona,17,1047.3000000000002
Granada,18,362.7
Guadalajara,19,561
Huelva,21,628.2
Huesca,22,772.5000000000001
Illes Balears,7,536.1999999999999
Jaén,23,446.20000000000005
La Rioja,26,636.6
León,24,808.3000000000001
Lleida,25,703.2
Lugo,27,1144.1000000000001
Madrid,28,539.6999999999999
Málaga,29,564.4
Murcia,30,364.6000000000001
Navarra,31,910.2
Ourense,32,973.8000000000001
Palencia,34,600.4000000000001
Pontevedra,35,1655.8000000000002
Salamanca,36,552.0999999999999
Segovia,38,546.0000000000001
Sevilla,39,486.6
Soria,40,590.4
Tarragona,41,707.1999999999999
Teruel,42,605.8
Toledo,43,433.4
València/Valencia,44,661.8
Valladolid,45,450.40000000000003
Zamora,47,571.4
Zaragoza,48,498.79999999999995
