mes,precipitaciones,id,NAMEUNIT
2021-03-15,4.3,10,Cáceres
2021-04-15,95.1,10,Cáceres
2021-05-15,19.5,10,Cáceres
2021-06-15,36.2,10,Cáceres
2021-07-15,0.2,10,Cáceres
2021-08-15,4.9,10,Cáceres
2021-09-15,98.5,10,Cáceres
2021-10-15,130.9,10,Cáceres
2021-11-15,7.1,10,Cáceres
2021-12-15,75.8,10,Cáceres
2021-01-15,148.5,11,Cádiz
2021-02-15,75.4,11,Cádiz
2021-03-15,65,11,Cádiz
2021-04-15,35.5,11,Cádiz
2021-05-15,7.5,11,Cádiz
2021-06-15,12.3,11,Cádiz
2021-07-15,0,11,Cádiz
2021-08-15,0.1,11,Cádiz
2021-09-15,30.8,11,Cádiz
2021-10-15,24.8,11,Cádiz
2021-11-15,44.5,11,Cádiz
2021-12-15,135.1,11,Cádiz
2021-01-15,180.7,37,Cantabria
2021-02-15,112.8,37,Cantabria
2021-03-15,56,37,Cantabria
2021-04-15,60.3,37,Cantabria
2021-05-15,60.2,37,Cantabria
2021-06-15,122.9,37,Cantabria
2021-07-15,43.2,37,Cantabria
2021-08-15,30.3,37,Cantabria
2021-09-15,105.1,37,Cantabria
2021-10-15,47.1,37,Cantabria
2021-11-15,384.6,37,Cantabria
2021-12-15,246.6,37,Cantabria
2021-01-15,56.6,12,Castelló/Castellón
2021-02-15,21.6,12,Castelló/Castellón
2021-03-15,30.6,12,Castelló/Castellón
2021-04-15,97.3,12,Castelló/Castellón
2021-05-15,31.7,12,Castelló/Castellón
2021-06-15,46.1,12,Castelló/Castellón
2021-07-15,33.9,12,Castelló/Castellón
2021-08-15,57,12,Castelló/Castellón
2021-09-15,106.6,12,Castelló/Castellón
2021-10-15,15.3,12,Castelló/Castellón
2021-11-15,47.3,12,Castelló/Castellón
2021-12-15,4.1,12,Castelló/Castellón
2021-01-15,84,13,Ciudad Real
2021-02-15,39.6,13,Ciudad Real
2021-03-15,10.3,13,Ciudad Real
2021-04-15,63,13,Ciudad Real
2021-05-15,11.8,13,Ciudad Real
2021-06-15,24,13,Ciudad Real
2021-07-15,0.7,13,Ciudad Real
2021-08-15,16.1,13,Ciudad Real
2021-09-15,39.8,13,Ciudad Real
2021-10-15,88.9,13,Ciudad Real
2021-11-15,23.1,13,Ciudad Real
2021-12-15,34.2,13,Ciudad Real
2021-01-15,88.6,14,Córdoba
2021-02-15,57.5,14,Córdoba
2021-03-15,9.6,14,Córdoba
2021-04-15,64.5,14,Córdoba
2021-05-15,11.6,14,Córdoba
2021-06-15,20.7,14,Córdoba
2021-07-15,0.3,14,Córdoba
2021-08-15,4.7,14,Córdoba
2021-09-15,46,14,Córdoba
2021-10-15,48.1,14,Córdoba
2021-11-15,21,14,Córdoba
2021-12-15,85.4,14,Córdoba
2021-01-15,93.6,16,Cuenca
2021-02-15,58.4,16,Cuenca
2021-03-15,14.8,16,Cuenca
2021-04-15,84.8,16,Cuenca
2021-05-15,27,16,Cuenca
2021-06-15,59.5,16,Cuenca
2021-07-15,9,16,Cuenca
2021-08-15,33.4,16,Cuenca
2021-09-15,58.1,16,Cuenca
2021-10-15,99.3,16,Cuenca
2021-11-15,39.5,16,Cuenca
2021-12-15,32.2,16,Cuenca
2021-01-15,173,20,Gipuzkoa
2021-02-15,113.6,20,Gipuzkoa
2021-03-15,62,20,Gipuzkoa
2021-04-15,62.9,20,Gipuzkoa
2021-05-15,69,20,Gipuzkoa
2021-06-15,145,20,Gipuzkoa
2021-07-15,46.8,20,Gipuzkoa
2021-08-15,27,20,Gipuzkoa
2021-09-15,122.8,20,Gipuzkoa
2021-10-15,69.4,20,Gipuzkoa
2021-11-15,342,20,Gipuzkoa
2021-12-15,314.7,20,Gipuzkoa
2021-01-15,34.9,17,Girona
2021-02-15,45.4,17,Girona
2021-03-15,16,17,Girona
2021-04-15,73.2,17,Girona
2021-05-15,54.2,17,Girona
2021-06-15,39.9,17,Girona
2021-07-15,29.4,17,Girona
2021-08-15,44,17,Girona
2021-09-15,89.9,17,Girona
2021-10-15,29.6,17,Girona
2021-11-15,108.5,17,Girona
2021-12-15,12.1,17,Girona
2021-01-15,72.2,18,Granada
2021-02-15,32.9,18,Granada
2021-03-15,17.2,18,Granada
2021-04-15,51,18,Granada
2021-05-15,38.1,18,Granada
2021-06-15,15.5,18,Granada
2021-07-15,1.3,18,Granada
2021-08-15,6.8,18,Granada
2021-09-15,11.5,18,Granada
2021-10-15,18.6,18,Granada
2021-11-15,31.7,18,Granada
2021-12-15,25.5,18,Granada
2021-01-15,88.4,19,Guadalajara
2021-02-15,74.3,19,Guadalajara
2021-03-15,15.5,19,Guadalajara
2021-04-15,92.7,19,Guadalajara
2021-05-15,40.6,19,Guadalajara
2021-06-15,66.5,19,Guadalajara
2021-07-15,12.3,19,Guadalajara
2021-08-15,33.5,19,Guadalajara
2021-09-15,76,19,Guadalajara
2021-10-15,75.4,19,Guadalajara
2021-11-15,44.6,19,Guadalajara
2021-12-15,35.1,19,Guadalajara
2021-01-15,50.7,21,Huelva
2021-02-15,101.9,21,Huelva
2021-03-15,35.4,21,Huelva
2021-04-15,51.5,21,Huelva
2021-05-15,15.1,21,Huelva
2021-06-15,14.5,21,Huelva
2021-07-15,0,21,Huelva
2021-08-15,0,21,Huelva
2021-09-15,78.2,21,Huelva
2021-10-15,32,21,Huelva
2021-11-15,18.1,21,Huelva
2021-12-15,105.3,21,Huelva
2021-01-15,84.3,22,Huesca
2021-02-15,52.7,22,Huesca
2021-03-15,5.6,22,Huesca
2021-04-15,72.7,22,Huesca
2021-05-15,42.5,22,Huesca
2021-06-15,71.3,22,Huesca
2021-07-15,23.6,22,Huesca
2021-08-15,17.7,22,Huesca
2021-09-15,78.3,22,Huesca
2021-10-15,65,22,Huesca
2021-11-15,64.7,22,Huesca
2021-12-15,59.1,22,Huesca
2021-01-15,100.6,23,Jaén
2021-02-15,66.8,23,Jaén
2021-03-15,10,23,Jaén
2021-04-15,53.2,23,Jaén
2021-05-15,18.5,23,Jaén
2021-06-15,31.2,23,Jaén
2021-07-15,0.1,23,Jaén
2021-08-15,15.8,23,Jaén
2021-09-15,19,23,Jaén
