NAMEUNIT,id,total_2021
A Coruña,15,1536.8999999999999
Alacant/Alicante,3,427.6
Albacete,2,439.50000000000006
Almería,4,288.7
Araba/Álava,1,949.7
Asturias,33,1362.6999999999998
Ávila,5,621.9
Badajoz,6,482.6
Barcelona,8,448.1
Bizkaia,46,1440.6
Burgos,9,679.6999999999999
Cáceres,10,660.3
Cádiz,11,579.5
Cantabria,37,1449.8
Castelló/Castellón,12,548.1
Ciudad Real,13,435.50000000000006
Córdoba,14,458
Cuenca,16,609.6
Gipuzkoa,20,1548.2
Girona,17,577.1
Granada,18,322.3
Guadalajara,19,654.9000000000001
Huelva,21,502.70000000000005
Huesca,22,637.5000000000001
Illes Balears,7,640.9000000000001
Jaén,23,463.7
La Rioja,26,598.7
León,24,741.6999999999999
Lleida,25,549.8
Lugo,27,1182.9
Madrid,28,523.7
Málaga,29,440.0999999999999
Murcia,30,349
Navarra,31,887.5
Ourense,32,1003.1
Palencia,34,532.7
Pontevedra,35,1575.4
Salamanca,36,569.6
Segovia,38,549
Sevilla,39,459.49999999999994
Soria,40,608.5
Tarragona,41,533.3000000000001
Teruel,42,524.5
Toledo,43,479.59999999999997
València/Valencia,44,527.9
Valladolid,45,427.7
Zamora,47,535.3000000000001
Zaragoza,48,449.69999999999993
