region,15/01/2020,15/02/2020,15/03/2020,15/04/2020,15/05/2020,15/06/2020,15/07/2020,15/08/2020,15/09/2020,15/10/2020,15/11/2020,15/12/2020
15,230.2,94,147.5,155.2,45.7,64.9,3.7,117.8,63.9,203.3,133.8,373.5
2,57.5,1.3,113.6,60.7,54.1,10.5,16.9,9.3,15.2,19.5,74.1,34.7
3,141.2,2.2,95.9,54.4,35.2,23.6,2.5,17.3,9,5.1,39.6,4.5
4,43.9,0.6,68.9,34.3,14.5,2.2,2.9,0.6,17.4,7.4,36.8,1.5
1,46.9,12.2,113.9,75.1,67.5,63.4,12.4,38.9,75.2,129.4,34,188.9
33,71.2,30.1,129,91.4,68.1,75.6,16.8,110,73.7,197.5,34.7,339.2
5,39.7,2.5,64,108,42.2,11.4,6.2,15.2,72.8,123.3,117.6,59.3
6,38.6,1.9,66.1,84.5,41.4,0.6,4.8,5.2,22.1,73.1,87.6,51.8
7,125.4,0.3,40.7,107.8,21.8,34,2.9,22.4,64.7,46.7,29.6,39.9
8,153.9,1.7,55.3,139,72,113.6,43.1,70.4,52.3,39,72.4,24.4
46,44.3,43.5,165.1,67.8,69.8,94.5,31,66.4,105.7,224,46.8,395.4
9,37.7,8.7,64.9,106,47.8,56.8,22.7,30.7,66.5,106.7,21.4,98.3
10,62.1,3.7,86.8,118.2,51.5,2.7,6.4,2,45.8,126.4,129.4,58.2
11,102.6,3.8,102.4,76,64.6,13.5,0.2,0.5,4.7,63.1,97.8,72.8
37,46.4,27.5,123.6,115.7,51.9,85.3,31,89.5,84.3,233.1,34.9,316.1
12,166.5,0.4,206.5,107.3,56.2,50.2,10.2,14.1,24.5,8.9,161.3,12
13,24.5,2.1,67.4,64.9,45.2,3.4,5.9,17.1,18.6,32.1,58,44.1
14,45.9,1.9,64.5,90.8,38.3,2.1,1.2,13,18,50.6,97.9,45.5
16,38.9,1.6,113.1,57.6,56.6,23,25.7,26.1,23.6,25.5,92.2,61.6
20,50.7,54.9,189.4,96.6,102.3,101.3,32.3,82.6,122.3,224.8,52.5,358.6
17,224.2,4.4,67.9,176.2,56.4,137.3,48.4,66.2,67.1,66.3,118.9,14
18,44.7,0.6,56.7,62.1,44.4,4.9,5.7,1,19.5,23.8,60.5,38.8
19,37.4,1,112.4,84.8,60.4,37.2,18.2,20.2,47.8,55.9,40.1,45.6
21,74.4,1.8,83.3,84.8,55.5,2.1,0.1,0,22.9,94.2,157,52.1
22,93.1,2.5,110.2,90.4,108.2,83.3,20.8,17.1,50.7,68,52,76.2
23,32.7,1.8,64.6,78.5,62.4,5.9,6.6,6.3,6.8,34,69.6,77
26,42.9,3.6,129.6,100.6,52.2,73.5,28.2,34,32.3,50.2,33.9,55.6
24,53.4,16.7,64.5,126,47.1,44.8,14.1,62.2,41.9,140.5,52.7,144.4
25,97.2,1.2,82.5,88.7,86,100.4,32.6,26.2,39.8,56.6,62.7,29.3
27,117.5,51.8,132.8,93,40.4,45.5,8.5,91.2,60.2,156.5,72.5,274.2
28,32.5,1.1,72.6,77.4,50.6,14.1,6.7,24.4,57.6,77.9,71.5,53.3
29,114.9,2.2,110.3,69.2,53.7,4.8,0.2,0.8,10.3,44.4,111.1,42.5
30,73.4,2,119.4,51.9,25,14.4,8.1,6.3,10.6,6.7,40.5,6.3
31,48.2,19.8,145.3,92.3,67.8,79.2,13.8,44.1,62,113.7,31.8,192.2
32,91.6,31,118.7,116.1,47.4,30.9,5.6,39.4,51.7,135.3,86.7,219.4
34,31,8.8,39.6,127.9,42.9,48.2,24.4,34.8,48.6,109.7,25.3,59.2
35,216.3,102.3,157,191.3,58.4,42.7,0.2,93.7,72.4,187.3,131.4,402.8
36,34.6,5,63,110,35.1,6.5,7.4,7.9,42,119.2,67.2,54.2
38,30.8,2.9,54,82.1,54.3,41.1,23.9,24.1,60.8,64.7,32.6,74.7
39,77.9,1.5,77.4,78.3,46.7,2,1.7,4,16.1,46.7,98.7,35.6
40,42.1,2.7,107.6,88.1,46.7,61,25.2,21,44,54.9,36.2,60.9
41,190.1,0.6,70.1,132.8,77.7,53.6,1.9,22.8,29,12.2,99.9,16.5
42,97.5,0.1,110.2,88.4,73,47.9,16.7,25.2,13.4,15.4,85.4,32.6
43,27.1,1.7,63.6,72.8,40.4,8.7,2.1,22,34.8,55.2,69.8,35.2
44,168.9,2.7,133.2,67.5,37.6,20.1,17.3,10.5,18.6,11.3,160.8,13.3
45,22.4,3.1,38.3,103.5,37.8,32,16.7,16.6,43.4,72.3,27.5,36.8
47,36.2,6.5,49.6,112.9,39.6,27.1,15.8,28.6,35.4,114.1,55.3,50.3
48,72.7,0.5,84,67.1,73.4,55.5,7.9,8,19.9,28.5,41.7,39.6
