region,mes,precipitaciones
16,2020-02-15,1.6
16,2020-03-15,113.1
16,2020-04-15,57.6
16,2020-05-15,56.6
16,2020-06-15,23
16,2020-07-15,25.7
16,2020-08-15,26.1
16,2020-09-15,23.6
16,2020-10-15,25.5
16,2020-11-15,92.2
16,2020-12-15,61.6
20,2020-01-15,50.7
20,2020-02-15,54.9
20,2020-03-15,189.4
20,2020-04-15,96.6
20,2020-05-15,102.3
20,2020-06-15,101.3
20,2020-07-15,32.3
20,2020-08-15,82.6
20,2020-09-15,122.3
20,2020-10-15,224.8
20,2020-11-15,52.5
20,2020-12-15,358.6
17,2020-01-15,224.2
17,2020-02-15,4.4
17,2020-03-15,67.9
17,2020-04-15,176.2
17,2020-05-15,56.4
17,2020-06-15,137.3
17,2020-07-15,48.4
17,2020-08-15,66.2
17,2020-09-15,67.1
17,2020-10-15,66.3
17,2020-11-15,118.9
17,2020-12-15,14
18,2020-01-15,44.7
18,2020-02-15,0.6
18,2020-03-15,56.7
18,2020-04-15,62.1
18,2020-05-15,44.4
18,2020-06-15,4.9
18,2020-07-15,5.7
18,2020-08-15,1
18,2020-09-15,19.5
18,2020-10-15,23.8
18,2020-11-15,60.5
18,2020-12-15,38.8
19,2020-01-15,37.4
19,2020-02-15,1
19,2020-03-15,112.4
19,2020-04-15,84.8
19,2020-05-15,60.4
19,2020-06-15,37.2
19,2020-07-15,18.2
19,2020-08-15,20.2
19,2020-09-15,47.8
19,2020-10-15,55.9
19,2020-11-15,40.1
19,2020-12-15,45.6
21,2020-01-15,74.4
21,2020-02-15,1.8
21,2020-03-15,83.3
21,2020-04-15,84.8
21,2020-05-15,55.5
21,2020-06-15,2.1
21,2020-07-15,0.1
21,2020-08-15,0
21,2020-09-15,22.9
21,2020-10-15,94.2
21,2020-11-15,157
21,2020-12-15,52.1
22,2020-01-15,93.1
22,2020-02-15,2.5
22,2020-03-15,110.2
22,2020-04-15,90.4
22,2020-05-15,108.2
22,2020-06-15,83.3
22,2020-07-15,20.8
22,2020-08-15,17.1
22,2020-09-15,50.7
22,2020-10-15,68
22,2020-11-15,52
22,2020-12-15,76.2
23,2020-01-15,32.7
23,2020-02-15,1.8
23,2020-03-15,64.6
23,2020-04-15,78.5
23,2020-05-15,62.4
23,2020-06-15,5.9
23,2020-07-15,6.6
23,2020-08-15,6.3
23,2020-09-15,6.8
23,2020-10-15,34
23,2020-11-15,69.6
23,2020-12-15,77
26,2020-01-15,42.9
26,2020-02-15,3.6
26,2020-03-15,129.6
26,2020-04-15,100.6
26,2020-05-15,52.2
26,2020-06-15,73.5
26,2020-07-15,28.2
26,2020-08-15,34
26,2020-09-15,32.3
26,2020-10-15,50.2
26,2020-11-15,33.9
26,2020-12-15,55.6
24,2020-01-15,53.4
24,2020-02-15,16.7
24,2020-03-15,64.5
24,2020-04-15,126
24,2020-05-15,47.1
24,2020-06-15,44.8
24,2020-07-15,14.1
24,2020-08-15,62.2
24,2020-09-15,41.9
24,2020-10-15,140.5
24,2020-11-15,52.7
24,2020-12-15,144.4
25,2020-01-15,97.2
25,2020-02-15,1.2
25,2020-03-15,82.5
25,2020-04-15,88.7
25,2020-05-15,86
