region,mes,precipitaciones
15,2019-01-15,171.2
15,2019-02-15,72
15,2019-03-15,96.1
15,2019-04-15,173.7
15,2019-05-15,52.9
15,2019-06-15,78.2
15,2019-07-15,19.6
15,2019-08-15,56.6
15,2019-09-15,73.2
15,2019-10-15,249.4
15,2019-11-15,393.3
15,2019-12-15,268.8
2,2019-01-15,18.8
2,2019-02-15,5
2,2019-03-15,19.4
2,2019-04-15,159.8
2,2019-05-15,8.6
2,2019-06-15,3.8
2,2019-07-15,8.5
2,2019-08-15,24.2
2,2019-09-15,101.5
2,2019-10-15,25
2,2019-11-15,56.8
2,2019-12-15,44.6
3,2019-01-15,2.1
3,2019-02-15,0.8
3,2019-03-15,34.1
3,2019-04-15,180.4
3,2019-05-15,6.2
3,2019-06-15,1.1
3,2019-07-15,0.8
3,2019-08-15,44.6
3,2019-09-15,171
3,2019-10-15,47.9
3,2019-11-15,17.8
3,2019-12-15,79.8
4,2019-01-15,2.9
4,2019-02-15,4.3
4,2019-03-15,14.2
4,2019-04-15,55.8
4,2019-05-15,1.9
4,2019-06-15,2
4,2019-07-15,0.3
4,2019-08-15,1.9
4,2019-09-15,100.4
4,2019-10-15,24.1
4,2019-11-15,24.5
4,2019-12-15,48
1,2019-01-15,193.5
1,2019-02-15,49.2
1,2019-03-15,27.6
1,2019-04-15,79.5
1,2019-05-15,61.6
1,2019-06-15,26.5
1,2019-07-15,60.1
1,2019-08-15,23.6
1,2019-09-15,62.2
1,2019-10-15,63
1,2019-11-15,259.7
1,2019-12-15,83.7
33,2019-01-15,286.6
33,2019-02-15,66.2
33,2019-03-15,46.1
33,2019-04-15,101.5
33,2019-05-15,63.2
33,2019-06-15,72.1
33,2019-07-15,41.2
33,2019-08-15,34
33,2019-09-15,61.7
33,2019-10-15,163.2
33,2019-11-15,441.5
33,2019-12-15,222.5
5,2019-01-15,29.9
5,2019-02-15,3.5
5,2019-03-15,29.1
5,2019-04-15,76.2
5,2019-05-15,6.3
5,2019-06-15,3.4
5,2019-07-15,13.1
5,2019-08-15,31.3
5,2019-09-15,46.1
5,2019-10-15,57.6
5,2019-11-15,93.7
5,2019-12-15,151.6
6,2019-01-15,30.7
6,2019-02-15,7.2
6,2019-03-15,24.9
6,2019-04-15,68.8
6,2019-05-15,6.9
6,2019-06-15,0.2
6,2019-07-15,0.8
6,2019-08-15,5.2
6,2019-09-15,8.4
6,2019-10-15,23.8
6,2019-11-15,79.7
6,2019-12-15,89.7
7,2019-01-15,42.2
7,2019-02-15,4.9
7,2019-03-15,12.3
7,2019-04-15,29.8
7,2019-05-15,24.9
7,2019-06-15,0.4
7,2019-07-15,4.2
7,2019-08-15,18.7
